# Consommation d'électricité de la France du 1/08/2010 au 31/07/2011
# données au pas de 15 min.
# Quelques données manquantes (21/12/2010) ont été complétées.
Datetime,Consommation (MW)
2010-08-01 00:00:00,44866.0
2010-08-01 00:15:00,44010.0
2010-08-01 00:30:00,42439.0
2010-08-01 00:45:00,40935.0
2010-08-01 01:00:00,40251.0
2010-08-01 01:15:00,40430.0
2010-08-01 01:30:00,40003.0
2010-08-01 01:45:00,39968.0
2010-08-01 02:00:00,39264.0
2010-08-01 02:15:00,39260.0
2010-08-01 02:30:00,38277.0
2010-08-01 02:45:00,37342.0
2010-08-01 03:00:00,36604.0
2010-08-01 03:15:00,36102.0
2010-08-01 03:30:00,35579.0
2010-08-01 03:45:00,35235.0
2010-08-01 04:00:00,34679.0
2010-08-01 04:15:00,34462.0
2010-08-01 04:30:00,34269.0
2010-08-01 04:45:00,34040.0
2010-08-01 05:00:00,34107.0
2010-08-01 05:15:00,34049.0
2010-08-01 05:30:00,33906.0
2010-08-01 05:45:00,33866.0
2010-08-01 06:00:00,33844.0
2010-08-01 06:15:00,33556.0
2010-08-01 06:30:00,33024.0
2010-08-01 06:45:00,32833.0
2010-08-01 07:00:00,32873.0
2010-08-01 07:15:00,33188.0
2010-08-01 07:30:00,33652.0
2010-08-01 07:45:00,33932.0
2010-08-01 08:00:00,34349.0
2010-08-01 08:15:00,34917.0
2010-08-01 08:30:00,35637.0
2010-08-01 08:45:00,36204.0
2010-08-01 09:00:00,36850.0
2010-08-01 09:15:00,37828.0
2010-08-01 09:30:00,38330.0
2010-08-01 09:45:00,38763.0
2010-08-01 10:00:00,39318.0
2010-08-01 10:15:00,39734.0
2010-08-01 10:30:00,40167.0
2010-08-01 10:45:00,40552.0
2010-08-01 11:00:00,40927.0
2010-08-01 11:15:00,41416.0
2010-08-01 11:30:00,41533.0
2010-08-01 11:45:00,41769.0
2010-08-01 12:00:00,42423.0
2010-08-01 12:15:00,43242.0
2010-08-01 12:30:00,43491.0
2010-08-01 12:45:00,44642.0
2010-08-01 13:00:00,43880.0
2010-08-01 13:15:00,43312.0
2010-08-01 13:30:00,42354.0
2010-08-01 13:45:00,41803.0
2010-08-01 14:00:00,41498.0
2010-08-01 14:15:00,41558.0
2010-08-01 14:30:00,41101.0
2010-08-01 14:45:00,40578.0
2010-08-01 15:00:00,40113.0
2010-08-01 15:15:00,39963.0
2010-08-01 15:30:00,39687.0
2010-08-01 15:45:00,39473.0
2010-08-01 16:00:00,38903.0
2010-08-01 16:15:00,38797.0
2010-08-01 16:30:00,38731.0
2010-08-01 16:45:00,38429.0
2010-08-01 17:00:00,38389.0
2010-08-01 17:15:00,38217.0
2010-08-01 17:30:00,38520.0
2010-08-01 17:45:00,38810.0
2010-08-01 18:00:00,38899.0
2010-08-01 18:15:00,39315.0
2010-08-01 18:30:00,39607.0
2010-08-01 18:45:00,40121.0
2010-08-01 19:00:00,40780.0
2010-08-01 19:15:00,40870.0
2010-08-01 19:30:00,41131.0
2010-08-01 19:45:00,41233.0
2010-08-01 20:00:00,41277.0
2010-08-01 20:15:00,41329.0
2010-08-01 20:30:00,41123.0
2010-08-01 20:45:00,41042.0
2010-08-01 21:00:00,40940.0
2010-08-01 21:15:00,41273.0
2010-08-01 21:30:00,41558.0
2010-08-01 21:45:00,42076.0
2010-08-01 22:00:00,42479.0
2010-08-01 22:15:00,43362.0
2010-08-01 22:30:00,43817.0
2010-08-01 22:45:00,45904.0
2010-08-01 23:00:00,45013.0
2010-08-01 23:15:00,44924.0
2010-08-01 23:30:00,44047.0
2010-08-01 23:45:00,44247.0
2010-08-02 00:00:00,42903.0
2010-08-02 00:15:00,42266.0
2010-08-02 00:30:00,40738.0
2010-08-02 00:45:00,39107.0
2010-08-02 01:00:00,38446.0
2010-08-02 01:15:00,38764.0
2010-08-02 01:30:00,38159.0
2010-08-02 01:45:00,38276.0
2010-08-02 02:00:00,37719.0
2010-08-02 02:15:00,38064.0
2010-08-02 02:30:00,36920.0
2010-08-02 02:45:00,36247.0
2010-08-02 03:00:00,35464.0
2010-08-02 03:15:00,35284.0
2010-08-02 03:30:00,34713.0
2010-08-02 03:45:00,34325.0
2010-08-02 04:00:00,34207.0
2010-08-02 04:15:00,34316.0
2010-08-02 04:30:00,34247.0
2010-08-02 04:45:00,34382.0
2010-08-02 05:00:00,34723.0
2010-08-02 05:15:00,35368.0
2010-08-02 05:30:00,35894.0
2010-08-02 05:45:00,36454.0
2010-08-02 06:00:00,36974.0
2010-08-02 06:15:00,37630.0
2010-08-02 06:30:00,37840.0
2010-08-02 06:45:00,38248.0
2010-08-02 07:00:00,38942.0
2010-08-02 07:15:00,39856.0
2010-08-02 07:30:00,40936.0
2010-08-02 07:45:00,41684.0
2010-08-02 08:00:00,42729.0
2010-08-02 08:15:00,43708.0
2010-08-02 08:30:00,44522.0
2010-08-02 08:45:00,45273.0
2010-08-02 09:00:00,46127.0
2010-08-02 09:15:00,46969.0
2010-08-02 09:30:00,47542.0
2010-08-02 09:45:00,48119.0
2010-08-02 10:00:00,48475.0
2010-08-02 10:15:00,48882.0
2010-08-02 10:30:00,49288.0
2010-08-02 10:45:00,49614.0
2010-08-02 11:00:00,49867.0
2010-08-02 11:15:00,50159.0
2010-08-02 11:30:00,50357.0
2010-08-02 11:45:00,50797.0
2010-08-02 12:00:00,51065.0
2010-08-02 12:15:00,51239.0
2010-08-02 12:30:00,51314.0
2010-08-02 12:45:00,52292.0
2010-08-02 13:00:00,51343.0
2010-08-02 13:15:00,51148.0
2010-08-02 13:30:00,50428.0
2010-08-02 13:45:00,50481.0
2010-08-02 14:00:00,50360.0
2010-08-02 14:15:00,50651.0
2010-08-02 14:30:00,50207.0
2010-08-02 14:45:00,49873.0
2010-08-02 15:00:00,49282.0
2010-08-02 15:15:00,49025.0
2010-08-02 15:30:00,48657.0
2010-08-02 15:45:00,48274.0
2010-08-02 16:00:00,47800.0
2010-08-02 16:15:00,47663.0
2010-08-02 16:30:00,47398.0
2010-08-02 16:45:00,47078.0
2010-08-02 17:00:00,46832.0
2010-08-02 17:15:00,46411.0
2010-08-02 17:30:00,46226.0
2010-08-02 17:45:00,46061.0
2010-08-02 18:00:00,46270.0
2010-08-02 18:15:00,46274.0
2010-08-02 18:30:00,46397.0
2010-08-02 18:45:00,46898.0
2010-08-02 19:00:00,47128.0
2010-08-02 19:15:00,46967.0
2010-08-02 19:30:00,46723.0
2010-08-02 19:45:00,46264.0
2010-08-02 20:00:00,45838.0
2010-08-02 20:15:00,45385.0
2010-08-02 20:30:00,44730.0
2010-08-02 20:45:00,44681.0
2010-08-02 21:00:00,44150.0
2010-08-02 21:15:00,44173.0
2010-08-02 21:30:00,44400.0
2010-08-02 21:45:00,44702.0
2010-08-02 22:00:00,44590.0
2010-08-02 22:15:00,45481.0
2010-08-02 22:30:00,45877.0
2010-08-02 22:45:00,48200.0
2010-08-02 23:00:00,46900.0
2010-08-02 23:15:00,46971.0
2010-08-02 23:30:00,46600.0
2010-08-02 23:45:00,46109.0
2010-08-03 00:00:00,44300.0
2010-08-03 00:15:00,43200.0
2010-08-03 00:30:00,42298.0
2010-08-03 00:45:00,41063.0
2010-08-03 01:00:00,40111.0
2010-08-03 01:15:00,40328.0
2010-08-03 01:30:00,39974.0
2010-08-03 01:45:00,39884.0
2010-08-03 02:00:00,39264.0
2010-08-03 02:15:00,39580.0
2010-08-03 02:30:00,38523.0
2010-08-03 02:45:00,37887.0
2010-08-03 03:00:00,37000.0
2010-08-03 03:15:00,36674.0
2010-08-03 03:30:00,36270.0
2010-08-03 03:45:00,35826.0
2010-08-03 04:00:00,35798.0
2010-08-03 04:15:00,35577.0
2010-08-03 04:30:00,35428.0
2010-08-03 04:45:00,35541.0
2010-08-03 05:00:00,35876.0
2010-08-03 05:15:00,36436.0
2010-08-03 05:30:00,36717.0
2010-08-03 05:45:00,37308.0
2010-08-03 06:00:00,37998.0
2010-08-03 06:15:00,38234.0
2010-08-03 06:30:00,38488.0
2010-08-03 06:45:00,38817.0
2010-08-03 07:00:00,39549.0
2010-08-03 07:15:00,40496.0
2010-08-03 07:30:00,41532.0
2010-08-03 07:45:00,42328.0
2010-08-03 08:00:00,43413.0
2010-08-03 08:15:00,44273.0
2010-08-03 08:30:00,45080.0
2010-08-03 08:45:00,45589.0
2010-08-03 09:00:00,46561.0
2010-08-03 09:15:00,47430.0
